,id,text,created_at,favorite_count,retweet_count
126,781899954126225408,"RT @HillaryforFL: ""39 days left. Do we lift each other up or do we tear each other down?"" —Hillary https://t.co/99CFjfLtnk",Fri Sep 30 16:54:10 +0000 2016,0.0,1581.0
127,781897896065114118,This election is about whether we’re a country that lifts each other up or tears each other down. https://t.co/tTgeqxNqYm,Fri Sep 30 16:46:00 +0000 2016,2307.0,877.0
128,781896753092100096,"RT @HFA: “I’m trying to end the campaign focusing on issues that are really close to my heart, and this is one of them.” —Hillary on nation…",Fri Sep 30 16:41:27 +0000 2016,0.0,953.0
129,781896381594120194,"National service has always been a bipartisan goal. When it's hard to find common ground, it’s important we come together where we can.",Fri Sep 30 16:39:58 +0000 2016,2379.0,709.0
130,781895235475472384,"RT @HFA: ""I intend to make sure that 10% of @AmeriCorps slots go to Americans over the age of 55.” —Hillary",Fri Sep 30 16:35:25 +0000 2016,0.0,593.0
131,781894148265836544,"RT @HFA: We'll grow @AmeriCorps from 75,000 annual volunteers to 250,000 and double the scholarship that volunteers earn through their serv…",Fri Sep 30 16:31:06 +0000 2016,0.0,805.0
132,781893931512520704,RT @HFA: Too often volunteering becomes something only people with lots of time and financial security can do. Everyone should be able to c…,Fri Sep 30 16:30:14 +0000 2016,0.0,732.0
133,781892832520966144,"However you serve, it feels great to be a part of something bigger than yourself—to work toward making something good happen in the world.",Fri Sep 30 16:25:52 +0000 2016,2189.0,762.0
134,781892060135686146,"This is one of the best things about Americans—we’re doers. When we see something that needs fixing, we roll up our sleeves and get to work.",Fri Sep 30 16:22:48 +0000 2016,1884.0,616.0
135,781891655796453376,Every good thing that we’ve ever achieved has always been because people have worked together to make it happen. https://t.co/ZxAsmgX6BH,Fri Sep 30 16:21:12 +0000 2016,1412.0,483.0
136,781891468206215168,"Trump stood up at his convention and described a hopeless, broken nation—one that in no way resembles the strong, vibrant America we know.",Fri Sep 30 16:20:27 +0000 2016,1713.0,643.0
137,781890612069036032,This race comes down to two things: what kind of future we want for our kids and how we achieve it. https://t.co/nkwAOnFbJl,Fri Sep 30 16:17:03 +0000 2016,2226.0,954.0
138,781890393185058816,There are just 39 days between now &amp; November 8. Just 39 days left in the most important election in our lifetimes. https://t.co/tTgeqxNqYm,Fri Sep 30 16:16:11 +0000 2016,1285.0,593.0
139,781889132113068032,Hillary’s speaking in Florida on her plan to expand opportunities for national service. Watch here: https://t.co/DBL4KkG5am,Fri Sep 30 16:11:10 +0000 2016,3934.0,1236.0
140,781882532690272256,RT @Hillary_esp: Alicia merece respeto por enfrentar con valentía los ataques de Trump. ¿Y él tiene el descaro de culparla y decir que él l…,Fri Sep 30 15:44:57 +0000 2016,0.0,694.0
141,781874238915481600,"While Donald continues day 5 of his Machado meltdown, we'll be in Florida talking about national service. You'll want to watch.",Fri Sep 30 15:11:59 +0000 2016,16668.0,5274.0
142,781873616971526144,"Trump on equal pay: ""Do as good a job"" as men.

Abortion? Should be ""punished.""

Pregnancy? An ""inconvenience.""

Wives working? ""Dangerous.""",Fri Sep 30 15:09:31 +0000 2016,15739.0,7768.0
143,781873120139419649,"We've heard Donald's insults for years, and his policies reflect this disregard—even contempt—for women.",Fri Sep 30 15:07:32 +0000 2016,7425.0,2875.0
144,781872597969534976,Trump obsessively bullies Rosie O'Donnell—an accomplished actor. He insulted Kim Kardashian for her weight—when she was pregnant. Pathetic.,Fri Sep 30 15:05:28 +0000 2016,11453.0,4098.0
145,781871605198774272,"To Donald, women like Alicia are only as valuable as his personal opinion about their looks. https://t.co/OZv8yg8vjZ https://t.co/PZWmPcORBR",Fri Sep 30 15:01:31 +0000 2016,4502.0,2220.0
146,781870635324694528,"When something gets under Donald's thin skin, he lashes out and can't let go. This is dangerous for a president.",Fri Sep 30 14:57:40 +0000 2016,19118.0,8244.0
147,781870087032700928,"Alicia deserves praise for courageously standing up to Trump's attacks. And he has the gall to blame her—and say he ""helped""?",Fri Sep 30 14:55:29 +0000 2016,9348.0,2976.0
148,781869512983515136,What kind of man stays up all night to smear a woman with lies and conspiracy theories?,Fri Sep 30 14:53:12 +0000 2016,29687.0,12759.0
149,781869125903773696,"This is...unhinged, even for Trump. A few notes. https://t.co/WURWs6aJ5f",Fri Sep 30 14:51:40 +0000 2016,32238.0,13366.0
150,781658082703241216,"RT @Fahrenthold: NEW: @realdonaldtrump's Fdn, totally reliant on other people's $, lacks state certification to raise $ from others. https:…",Fri Sep 30 00:53:04 +0000 2016,0.0,9268.0
